franchise,season,avg_score,n_episodes
The Flash (2014),5,-0.083,22
The Flash (2014),6,-0.139,19
The Flash (2014),7,-0.026,18
The Flash (2014),8,0.023,20
The Flash (2014),9,0.072,13
The Four Seasons,1,0.119,8
The Gardener,1,0.03,29
The Gardener,2,0.021,31
The Glass Dome,1,-0.111,6
The Good Place,1,0.079,13
The Good Place,2,-0.008,12
The Good Place,3,-0.035,12
The Good Place,4,0.007,13
The Lady's Companion,1,0.052,8
The Last Kingdom,1,-0.025,8
The Last Kingdom,2,-0.061,8
The Last Kingdom,3,-0.065,10
The Last Kingdom,4,-0.095,10
The Last Kingdom,5,-0.079,10
The Lincoln Lawyer,1,0.013,10
The Lincoln Lawyer,2,-0.03,10
The Lincoln Lawyer,3,-0.183,10
The Madness,1,0.01,16
The Night Agent,1,-0.035,10
The Night Agent,2,-0.061,10
The Office (U.S.),1,0.001,6
The Office (U.S.),2,-0.031,22
The Office (U.S.),3,0.041,23
The Office (U.S.),4,0.016,14
The Office (U.S.),5,0.008,26
The Office (U.S.),6,-0.022,24
The Office (U.S.),7,0.06,24
The Office (U.S.),8,0.007,24
The Office (U.S.),9,0.01,23
The Perfect Couple,1,-0.069,6
The Recruit,1,-0.058,8
The Recruit,2,0.084,6
The Residence,1,-0.053,12
The Resident,1,-0.05,14
The Resident,2,-0.003,23
The Resident,3,-0.1,20
The Resident,4,0.012,14
The Resident,5,-0.056,23
The Resident,6,-0.035,13
The Rookie,1,-0.053,20
The Rookie,2,-0.038,20
The Rookie,3,0.003,14
The Rookie,4,-0.076,22
The Rookie,5,-0.045,22
The Rookie,6,-0.093,10
The Rookie,7,-0.06,18
The Royals,1,-0.039,12
The Search For Instagram's Worst Con Artist,1,-0.25,2
The Seven Deadly Sins,1,-0.035,36
The Snow Girl,1,-0.067,6
The Snow Girl,2,-0.111,6
The Survivors,10,-0.007,66
The Trauma Code,1,0,8
The Upshaws,1,0.077,10
The Upshaws,2,0,16
The Upshaws,3,0.012,12
The Upshaws,4,0.005,10
The Walking Dead,1,-0.109,6
The Walking Dead,2,-0.095,13
The Walking Dead,3,-0.063,16
The Walking Dead,4,-0.018,16
The Walking Dead,5,0.026,16
The Walking Dead,6,-0.094,16
The Walking Dead,7,-0.008,16
The Walking Dead,8,0.005,16
The Walking Dead,9,-0.104,16
